ids,names,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,monthly_listeners
6mtABo05yeYtPftYEVfGoV,clown core,42,107755,breakcore,2010,2024,5,4,146466.0
3say7qPpfTJlo8bxcpHQkc,jacques herb,29,7711,"classic dutch pop, levenslied, nederpop, vintage dutch pop",1972,2024,20,11,41581.0
5Oe64qEJrq2CWWf4U90lFD,dobri isak,12,1364,balkan post-punk,2021,2021,1,17,1537.0
5mlPiCqcoz6pDrRj90xbJ2,vnm,40,67422,polish hip hop,2011,2024,20,1,175922.0
06a07WPo9uVNUf3WQlU0NZ,javier piñango,0,8,,-1,-1,0,0,1.0
36bgHoykshtpmokPxiGfBA,kristofer åström,19,9376,"norrbotten indie, swedish americana, swedish indie folk, swedish singer-songwriter",1998,2021,20,4,10085.0
5Mi6WWgxxeA43flPmgCIgz,dave flynn,1,137,,2009,2023,8,1,122.0
05Thl0cxDfoKilfQ5Hwo7D,sennarin,39,14592,,2022,2024,10,1,131673.0
3F7YqHbhkAqFckTNQiiW5p,anthony nunziata,1,221,,2019,2023,7,1,136.0
5wSIuvDK8k3LWR4NEZy2cs,rizon,13,2331,gospel reggae,2011,2020,12,3,3471.0
2ILxXTYEBrXrdTInhDnP8g,the woods,22,2453,,2022,2024,6,1,5137.0
72oTILAD0Bjifoemf8l5vY,ooral sea,0,11,,2015,2015,1,8,4.0
0dG26V6dpP5bgjQVnYHUxS,dj somy,5,148,,2008,2009,2,10,1295.0
68RHz1ExombwfxIEhCnSek,komintern sect,19,5603,"french oi, oi",1983,2021,6,6,5259.0
5u3bUXIT3cJ1zW7jNyMrm9,nicholas martin,0,8,,2021,2021,1,1,1.0
33bos49K745wYZoOz0caWQ,toheart,14,28712,k-pop boy group,2014,2014,2,6,5863.0
0ENhLs6dixzNts6zPiEAKY,raymond mckinley,0,4,,-1,-1,0,0,0.0
1VMMPq9feNkGKD1MUDsdXN,tjo,16,2068,,2023,2023,1,3,8609.0
2r5q1jdKTSybioZcfjiFkx,the west coast pinups,0,21,,1999,2023,3,15,12.0
12ZOHgIYkZiwd9w9F7I83e,the quantic soul orchestra,46,65771,"bboy, instrumental soul, trip hop",2003,2020,13,2,553545.0
3SBSdjhyc4AjsGgZJrYEWw,john foster,12,295,,2003,2010,3,1,5977.0
4pqjCctSIdc1ApLBQVEJ70,zebra-n,0,12,,-1,-1,0,0,1.0
2rD2qkzb4vS2xDSeigAo1u,bad girl kimoe,0,13,,2015,2019,3,1,0.0
0TGmrHFinsuhSBMHqiEINl,bernard cazauran,1,75,contrabass,1993,1996,2,11,288.0
7jeZOwnR9yjYa11wfwXxEA,pensive,4,332,,2016,2022,16,1,996.0
547CRGkodd9ikV5CfxaqXd,broombeck,1,374,,2006,2023,20,3,214.0
1PjyxC1dsa4hV8tUQ6RrhI,aeon temple,0,139,,2016,2017,2,1,52.0
0teZDGivRVrcIf28rs9xVw,lauri saatpalu,10,671,estonian pop,2020,2020,3,10,992.0
7o2vZkby29KhYJjsG4VLHF,the ruckus,3,27,,2013,2016,2,4,35.0
6LlWR6PwW1x0qmprbltcIO,sheldon kreger,0,0,,-1,-1,0,0,0.0
2YjlngYpq5hZ5lpjmyuVaY,chuck conlon,0,3,,-1,-1,0,0,61.0
